         48203 function calls (42803 primitive calls) in 0.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.336    0.004    0.336    0.004 {method 'recv' of '_socket.socket' objects}
11427/6027    0.006    0.000    0.010    0.000 encoder.py:333(_iterencode_dict)
      286    0.003    0.000    0.003    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       54    0.003    0.000    0.003    0.000 encoder.py:204(iterencode)
      286    0.003    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     5607    0.003    0.000    0.008    0.000 encoder.py:277(_iterencode_list)
      143    0.003    0.000    0.006    0.000 __init__.py:284(__init__)
     6027    0.002    0.000    0.013    0.000 encoder.py:413(_iterencode)
       78    0.002    0.000    0.002    0.000 {method 'sendall' of '_socket.socket' objects}
       54    0.002    0.000    0.018    0.000 encoder.py:182(encode)
      429    0.002    0.000    0.008    0.000 __init__.py:651(format)
      143    0.001    0.000    0.001    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
     4882    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      286    0.001    0.000    0.001    0.000 {built-in method time.localtime}
      429    0.001    0.000    0.001    0.000 __init__.py:431(_format)
      286    0.001    0.000    0.024    0.000 __init__.py:937(handle)
      286    0.001    0.000    0.006    0.000 __init__.py:1058(flush)
     1182    0.001    0.000    0.001    0.000 Character.py:26(display)
      286    0.001    0.000    0.014    0.000 __init__.py:1069(emit)
      286    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      143    0.001    0.000    0.001    0.000 __init__.py:1502(findCaller)
      143    0.001    0.000    0.007    0.000 handlers.py:175(shouldRollover)
      143    0.001    0.000    0.025    0.000 __init__.py:1633(callHandlers)
       63    0.001    0.000    0.003    0.000 Game.py:187(update_game_state)
      143    0.001    0.000    0.035    0.000 __init__.py:1553(_log)
      128    0.001    0.000    0.030    0.000 __init__.py:1424(info)
      429    0.001    0.000    0.001    0.000 __init__.py:360(getMessage)
      429    0.001    0.000    0.009    0.000 __init__.py:914(format)
      286    0.001    0.000    0.003    0.000 __init__.py:584(formatTime)
      572    0.001    0.000    0.001    0.000 __init__.py:894(acquire)
       12    0.001    0.000    0.393    0.033 Player.py:21(play)
       63    0.001    0.000    0.001    0.000 Game.py:191(<listcomp>)
      429    0.001    0.000    0.001    0.000 __init__.py:423(usesTime)
     1470    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring_ascii}
      143    0.001    0.000    0.001    0.000 posixpath.py:140(basename)
      572    0.000    0.000    0.001    0.000 __init__.py:901(release)
      143    0.000    0.000    0.001    0.000 genericpath.py:121(_splitext)
      573    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      143    0.000    0.000    0.007    0.000 __init__.py:1538(makeRecord)
       78    0.000    0.000    0.337    0.004 protocol.py:4(recvall)
      143    0.000    0.000    0.016    0.000 handlers.py:61(emit)
      143    0.000    0.000    0.000    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      429    0.000    0.000    0.002    0.000 __init__.py:635(formatMessage)
      429    0.000    0.000    0.001    0.000 __init__.py:629(usesTime)
      143    0.000    0.000    0.001    0.000 posixpath.py:117(splitext)
      429    0.000    0.000    0.001    0.000 __init__.py:434(format)
       39    0.000    0.000    0.002    0.000 __init__.py:299(loads)
      143    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       22    0.000    0.000    0.111    0.005 Player.py:112(activate_power)
       63    0.000    0.000    0.001    0.000 Game.py:194(<listcomp>)
       54    0.000    0.000    0.019    0.000 __init__.py:183(dumps)
      143    0.000    0.000    0.026    0.000 __init__.py:1579(handle)
      572    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      429    0.000    0.000    0.000    0.000 __init__.py:792(filter)
       39    0.000    0.000    0.339    0.009 utils.py:12(receive_json_from_player)
       12    0.000    0.000    0.148    0.012 Player.py:310(move)
       39    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       39    0.000    0.000    0.000    0.000 __init__.py:244(detect_encoding)
       39    0.000    0.000    0.006    0.000 utils.py:27(send_json_to_player)
      429    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      429    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      143    0.000    0.000    0.008    0.000 __init__.py:1174(emit)
      143    0.000    0.000    0.000    0.000 threading.py:1306(current_thread)
       12    0.000    0.000    0.066    0.006 Player.py:82(select)
      462    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      143    0.000    0.000    0.000    0.000 __init__.py:156(<lambda>)
       39    0.000    0.000    0.337    0.009 protocol.py:15(receive_json)
       78    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       39    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
      143    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       39    0.000    0.000    0.002    0.000 protocol.py:23(send_json)
      143    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
      573    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      143    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
      102    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
       63    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      143    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
       39    0.000    0.000    0.345    0.009 utils.py:40(ask_question_json)
      286    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      286    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      429    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      143    0.000    0.000    0.000    0.000 {built-in method time.time}
      342    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      117    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      143    0.000    0.000    0.000    0.000 threading.py:1031(name)
        9    0.000    0.000    0.000    0.000 Game.py:184(<listcomp>)
